Death_Rate,Testing_Rate,Country
92,180,Afghanistan
58,133,Albania
96,\N,Algeria
4,1,Andorra
169,182,Angola
\N,97,Anguilla
97,132,Antigua and Barbuda
40,127,Argentina
21,72,Armenia
76,30,Aruba
114,22,Australia
59,44,Austria
80,59,Azerbaijan
75,128,Bahamas
51,8,Bahrain
107,156,Bangladesh
104,85,Barbados
67,33,Belarus
2,27,Belgium
130,140,Belize
169,155,Benin
39,9,Bermuda
\N,57,Bhutan
16,130,Bolivia
37,87,Bosnia and Herzegovina
177,103,Botswana
11,71,Brazil
94,78,British Virgin Islands
146,46,Brunei
61,86,Bulgaria
169,\N,Burkina Faso
190,186,Burundi
130,166,CAR
67,36,Cabo Verde
\N,172,Cambodia
125,170,Cameroon
26,37,Canada
\N,136,Caribbean Netherlands
125,11,Cayman Islands
155,\N,Chad
23,12,Channel Islands
9,48,Chile
169,77,China
20,91,Colombia
141,\N,Comoros
128,\N,Congo
69,121,Costa Rica
86,107,Croatia
141,115,Cuba
148,165,Curaça
118,21,Cyprus
88,64,Czechia
169,\N,DRC
50,14,Denmark
\N,\N,Diamond Princess
72,73,Djibouti
\N,126,Dominica
43,114,Dominican Republic
19,134,Ecuador
78,189,Egypt
55,96,El Salvador
74,109,Equatorial Guinea
\N,\N,Eritrea
83,51,Estonia
64,122,Eswatini
155,168,Ethiopia
\N,2,Faeroe Islands
\N,6,Falkland Islands
177,160,Fiji
72,55,Finland
12,56,France
33,31,French Guiana
\N,106,French Polynesia
104,90,Gabon
94,174,Gambia
162,61,Georgia
48,43,Germany
141,141,Ghana
\N,5,Gibraltar
107,62,Greece
\N,45,Greenland
\N,84,Grenada
89,81,Guadeloupe
42,146,Guatemala
162,190,Guinea
118,192,Guinea-Bissau
89,158,Guyana
118,184,Haiti
36,142,Honduras
134,52,Hong Kong
70,102,Hungary
99,10,Iceland
87,123,India
107,163,Indonesia
25,108,Iran
38,110,Iraq
18,34,Ireland
21,47,Isle of Man
57,16,Israel
7,40,Italy
162,175,Ivory Coast
155,135,Jamaica
137,152,Japan
177,67,Jordan
62,42,Kazakhstan
134,161,Kenya
46,35,Kuwait
28,101,Kyrgyzstan
\N,173,Laos
114,41,Latvia
118,70,Lebanon
128,169,Lesotho
122,\N,Liberia
103,144,Libya
101,124,Liechtenstein
98,20,Lithuania
32,4,Luxembourg
\N,\N,MS Zaandam
\N,167,Macao
148,183,Madagascar
137,181,Malawi
162,105,Malaysia
84,25,Maldives
148,187,Mali
112,13,Malta
85,112,Martinique
93,138,Mauritania
141,32,Mauritius
41,89,Mayotte
13,153,Mexico
29,93,Moldova
53,3,Monaco
\N,139,Mongolia
44,68,Montenegro
31,145,Montserrat
111,94,Morocco
182,178,Mozambique
189,179,Myanmar
122,131,Namibia
162,116,Nepal
17,63,Netherlands
\N,99,New Caledonia
162,38,New Zealand
112,\N,Nicaragua
169,193,Niger
155,185,Nigeria
24,75,North Macedonia
82,49,Norway
46,79,Oman
100,148,Pakistan
107,98,Palestine
14,69,Panama
184,187,Papua New Guinea
104,125,Paraguay
3,58,Peru
101,129,Philippines
78,74,Poland
34,26,Portugal
65,23,Qatar
35,60,Romania
49,17,Russia
180,118,Rwanda
148,104,Réunio
148,111,S. Korea
\N,120,Saint Kitts and Nevis
\N,119,Saint Lucia
44,76,Saint Martin
\N,\N,Saint Pierre Miquelon
1,24,San Marino
66,137,Sao Tome and Principe
53,39,Saudi Arabia
122,159,Senegal
60,54,Serbia
\N,\N,Seychelles
137,\N,Sierra Leone
155,15,Singapore
15,92,Sint Maarten
148,83,Slovakia
71,66,Slovenia
148,\N,Somalia
30,82,South Africa
162,191,South Sudan
5,29,Spain
183,154,Sri Lanka
\N,28,St. Barth
\N,117,St. Vincent Grenadines
114,194,Sudan
56,151,Suriname
8,53,Sweden
27,50,Switzerland
155,\N,Syria
187,176,Taiwan
146,\N,Tajikistan
184,\N,Tanzania
180,147,Thailand
\N,177,Timor-Leste
169,164,Togo
137,143,Trinidad and Tobago
155,149,Tunisia
63,65,Turkey
77,88,Turks and Caicos
89,7,UAE
6,18,UK
10,19,USA
184,162,Uganda
80,113,Ukraine
132,95,Uruguay
141,100,Uzbekistan
\N,\N,Vatican City
133,80,Venezuela
187,157,Vietnam
176,\N,Western Sahara
52,\N,World
114,195,Yemen
125,171,Zambia
134,150,Zimbabwe
